id,user_id,applicant_id,rating,add_timestamp
416,34,6,63,9/7/23 6:49
417,30,10,27,9/7/23 6:50
418,28,7,75,9/7/23 6:50
419,48,10,69,9/7/23 6:50
420,54,8,76,9/7/23 6:50
421,32,6,20,9/7/23 6:50
422,52,10,80,9/7/23 6:50
423,38,12,70,9/7/23 6:50
424,29,3,100,9/7/23 6:50
425,62,5,95,9/7/23 6:50
426,49,10,37,9/7/23 6:50
427,42,7,60,9/7/23 6:50
428,50,5,100,9/7/23 6:50
429,54,2,70,9/7/23 6:50
430,37,11,100,9/7/23 6:51
431,53,12,70,9/7/23 6:51
432,5,3,55,9/7/23 6:51
433,64,3,77,9/7/23 6:51
434,59,2,70,9/7/23 6:51
435,28,11,66,9/7/23 6:51
436,45,1,95,9/7/23 6:51
437,42,11,55,9/7/23 6:51
438,48,1,94,9/7/23 6:51
439,60,6,80,9/7/23 6:51
440,47,9,89,9/7/23 6:51
441,58,2,74,9/7/23 6:51
442,16,8,80,9/7/23 6:51
443,54,4,70,9/7/23 6:51
444,50,1,100,9/7/23 6:51
446,62,2,65,9/7/23 6:51
447,61,7,75,9/7/23 6:51
448,32,10,30,9/7/23 6:51
449,28,10,80,9/7/23 6:52
450,43,9,90,9/7/23 6:52
451,27,12,50,9/7/23 6:52
452,52,12,68,9/7/23 6:52
453,28,3,62,9/7/23 6:52
454,59,11,93,9/7/23 6:52
456,12,2,69,9/7/23 6:52
457,50,9,98,9/7/23 6:52
458,62,12,65,9/7/23 6:52
459,52,1,88,9/7/23 6:52
460,59,10,72,9/7/23 6:53
461,32,8,35,9/7/23 6:53
462,60,9,100,9/7/23 6:53
463,62,8,69,9/7/23 6:53
464,48,12,85,9/7/23 6:53
466,8,5,92,9/7/23 6:53
467,47,8,32,9/7/23 6:53
468,21,6,40,9/7/23 6:53
469,50,4,75,9/7/23 6:53
470,52,6,51,9/7/23 6:53
471,41,3,67,9/7/23 6:53
472,59,12,67,9/7/23 6:53
473,62,11,95,9/7/23 6:53
474,38,3,100,9/7/23 6:53
475,22,10,35,9/7/23 6:54
476,44,5,91,9/7/23 6:54
477,32,2,35,9/7/23 6:54
478,27,8,60,9/7/23 6:54
479,46,7,91,9/7/23 6:54
480,62,1,95,9/7/23 6:54
481,8,6,3,9/7/23 6:54
482,52,5,91,9/7/23 6:54
483,59,5,94,9/7/23 6:54
484,63,5,80,9/7/23 6:54
485,64,10,77,9/7/23 6:54
486,41,5,68,9/7/23 6:54
487,62,7,80,9/7/23 6:55
488,48,3,92,9/7/23 6:55
489,60,5,100,9/7/23 6:55
490,53,8,70,9/7/23 6:55
491,62,6,65,9/7/23 6:55
492,59,9,93,9/7/23 6:55
493,47,11,90,9/7/23 6:55
494,62,9,80,9/7/23 6:55
496,27,1,85,9/7/23 6:55
497,59,6,64,9/7/23 6:55
498,32,3,75,9/7/23 6:55
500,52,11,90,9/7/23 6:56
501,62,3,85,9/7/23 6:56
502,51,5,89,9/7/23 6:56
503,16,9,85,9/7/23 6:56
504,38,5,91,9/7/23 6:56
505,59,8,67,9/7/23 6:56
506,62,10,80,9/7/23 6:56
507,27,2,55,9/7/23 6:56
508,48,5,94,9/7/23 6:56
509,45,10,75,9/7/23 6:56
510,62,4,85,9/7/23 6:56
511,52,4,83,9/7/23 6:56
512,41,7,56,9/7/23 6:56
513,61,10,70,9/7/23 6:57
514,59,3,95,9/7/23 6:57
515,57,12,54,9/7/23 6:57
516,30,8,28,9/7/23 6:57
517,59,7,85,9/7/23 6:57
518,60,1,100,9/7/23 6:57
519,47,12,38,9/7/23 6:57
520,41,1,56,9/7/23 6:57
521,59,4,64,9/7/23 6:57
523,27,11,95,9/7/23 6:58
524,38,10,71,9/7/23 6:58
525,65,7,95,9/7/23 6:58
526,41,10,48,9/7/23 6:58
527,48,11,100,9/7/23 6:58
529,46,11,100,9/7/23 6:58
530,57,10,63,9/7/23 6:58
531,3,5,95,9/7/23 6:58
532,48,7,79,9/7/23 6:58
533,58,5,100,9/7/23 6:59
534,44,2,65,9/7/23 6:59
535,21,1,100,9/7/23 6:59
536,37,10,87,9/7/23 6:59
537,44,12,50,9/7/23 6:59
538,60,7,100,9/7/23 6:59
539,61,8,83,9/7/23 6:59
540,27,6,45,9/7/23 6:59
541,21,9,49,9/7/23 6:59
542,47,1,96,9/7/23 7:00
543,64,8,80,9/7/23 7:00
544,5,9,80,9/7/23 7:00
545,8,9,85,9/7/23 7:00
546,42,3,39,9/7/23 7:00
547,57,11,99,9/7/23 7:00
548,16,3,90,9/7/23 7:01
549,12,1,87,9/7/23 7:01
550,22,8,25,9/7/23 7:01
552,70,5,88,9/7/23 7:01
553,48,4,75,9/7/23 7:01
554,22,1,90,9/7/23 7:01
555,60,2,85,9/7/23 7:01
556,24,8,16,9/7/23 7:01
557,37,3,100,9/7/23 7:01
558,27,7,90,9/7/23 7:01
559,58,10,53,9/7/23 7:01
560,49,7,80,9/7/23 7:01
561,68,8,65,9/7/23 7:01
562,47,6,48,9/7/23 7:02
563,38,6,56,9/7/23 7:02
564,45,6,65,9/7/23 7:02
565,43,5,95,9/7/23 7:02
566,65,10,85,9/7/23 7:02
567,46,9,90,9/7/23 7:02
568,51,7,82,9/7/23 7:02
569,61,5,100,9/7/23 7:02
570,57,6,58,9/7/23 7:02
571,34,8,55,9/7/23 7:03
572,71,8,66,9/7/23 7:03
573,60,12,80,9/7/23 7:03
574,27,9,90,9/7/23 7:03
575,53,11,95,9/7/23 7:03
576,24,4,20,9/7/23 7:03
577,30,4,35,9/7/23 7:03
578,70,9,61,9/7/23 7:04
579,44,6,70,9/7/23 7:04
580,71,3,47,9/7/23 7:04
581,69,12,65,9/7/23 7:04
582,27,3,95,9/7/23 7:04
583,38,1,98,9/7/23 7:04
584,61,2,70,9/7/23 7:04
585,30,11,100,9/7/23 7:04
586,47,4,30,9/7/23 7:04
587,64,2,81,9/7/23 7:04
589,71,5,61,9/7/23 7:05
590,37,9,100,9/7/23 7:05
591,71,7,63,9/7/23 7:05
592,72,10,70,9/7/23 7:05
593,57,2,57,9/7/23 7:05
594,24,11,15,9/7/23 7:05
595,51,2,40,9/7/23 7:05
596,27,10,50,9/7/23 7:05
597,58,9,93,9/7/23 7:05
598,53,7,88,9/7/23 7:06
599,8,12,5,9/7/23 7:06
600,27,4,45,9/7/23 7:06
601,71,1,53,9/7/23 7:06
602,57,3,88,9/7/23 7:06
603,69,11,100,9/7/23 7:06
604,65,5,100,9/7/23 7:06
605,46,2,78,9/7/23 7:06
606,71,10,53,9/7/23 7:07
607,53,10,85,9/7/23 7:07
608,72,5,91,9/7/23 7:07
609,34,10,60,9/7/23 7:07
610,60,3,100,9/7/23 7:07
612,61,1,74,9/7/23 7:07
613,70,2,45,9/7/23 7:07
614,64,1,74,9/7/23 7:07
615,24,12,16,9/7/23 7:08
616,45,5,95,9/7/23 7:08
617,58,12,50,9/7/23 7:08
618,72,6,60,9/7/23 7:08
619,60,11,100,9/7/23 7:08
621,73,8,75,9/7/23 7:08
622,69,7,90,9/7/23 7:08
623,70,10,40,9/7/23 7:08
624,38,9,82,9/7/23 7:08
625,21,7,100,9/7/23 7:08
626,42,6,54,9/7/23 7:09
627,65,8,80,9/7/23 7:09
628,70,6,41,9/7/23 7:09
629,8,1,87,9/7/23 7:09
630,68,3,90,9/7/23 7:09
631,44,11,98,9/7/23 7:09
632,42,1,74,9/7/23 7:09
633,72,1,93,9/7/23 7:09
634,24,6,57,9/7/23 7:10
